id,state,per.high,per.bac
01,Alabama,0.848,0.24
02,Alaska,0.9229999999999999,0.28800000000000003
04,Arizona,0.862,0.28
05,Arkansas,0.852,0.215
06,California,0.821,0.32
08,Colorado,0.91,0.387
09,Connecticut,0.9009999999999999,0.38
10,Delaware,0.888,0.305
11,District of Columbia,0.9,0.5539999999999999
12,Florida,0.872,0.27899999999999997
13,Georgia,0.858,0.294
15,Hawaii,0.9129999999999999,0.314
16,Idaho,0.9,0.262
17,Illinois,0.883,0.32899999999999996
18,Indiana,0.8809999999999999,0.24600000000000002
19,Iowa,0.917,0.272
20,Kansas,0.903,0.316
21,Kentucky,0.846,0.22699999999999998
22,Louisiana,0.838,0.23
23,Maine,0.919,0.293
24,Maryland,0.8959999999999999,0.384
25,Massachusetts,0.9009999999999999,0.41200000000000003
26,Michigan,0.899,0.27399999999999997
27,Minnesota,0.9259999999999999,0.342
28,Mississippi,0.83,0.21
29,Missouri,0.888,0.276
30,Montana,0.929,0.299
31,Nebraska,0.907,0.3
32,Nevada,0.8540000000000001,0.23199999999999998
33,New Hampshire,0.9259999999999999,0.355
34,New Jersey,0.889,0.375
35,New Mexico,0.846,0.267
36,New York,0.8590000000000001,0.34700000000000003
37,North Carolina,0.863,0.29
38,North Dakota,0.92,0.282
39,Ohio,0.895,0.267
40,Oklahoma,0.873,0.245
41,Oregon,0.9,0.314
42,Pennsylvania,0.895,0.293
44,Rhode Island,0.87,0.325
45,South Carolina,0.86,0.265
46,South Dakota,0.912,0.275
47,Tennessee,0.86,0.254
48,Texas,0.823,0.281
49,Utah,0.915,0.317
50,Vermont,0.919,0.36200000000000004
51,Virginia,0.8859999999999999,0.369
53,Washington,0.9059999999999999,0.336
54,West Virginia,0.853,0.196
55,Wisconsin,0.914,0.284
56,Wyoming,0.924,0.26
72,Puerto Rico,0.7390000000000001,0.24600000000000002
