year,state,R_share,D_share
2012,AK,0.5480157739729447,0.40812659112464433
2016,AK,0.5128151207753728,0.36550871290111986
2012,AL,0.6054582232982282,0.3835903309875247
2016,AL,0.6208309236440906,0.3435794575797364
2012,AR,0.6056693608410911,0.36878990301720105
2016,AR,0.6057190565643916,0.336519038168317
2012,AZ,0.536545331659747,0.44589766941799386
2016,AZ,0.4867161647232105,0.4512602184469321
2012,CA,0.371203785207048,0.6023895914168964
2016,CA,0.31617114678988356,0.6172638863699762
2012,CO,0.461269839293067,0.5149214523168122
2016,CO,0.4325097734122184,0.48156512712719407
2012,CT,0.40725355365115207,0.5805684558936727
2016,CT,0.40926914378814777,0.5456630109670987
2012,DC,0.07278291417600523,0.9091311392818725
2016,DC,0.040874744593083774,0.9086382152999987
2012,DE,0.3997960963565511,0.5860635241990622
2016,DE,0.41712744528113127,0.5308597745902562
2012,FL,0.49130977761975525,0.5000786506869869
2016,FL,0.49021941416590736,0.4782331580580505
2012,GA,0.5329900898706427,0.45482160485121986
2016,GA,0.50771326054771,0.4563998335736082
2012,HI,0.27838931485609514,0.7054523035585707
2016,HI,0.3003867700851174,0.6222149173421738
2012,IA,0.46177868510536096,0.5198801653414908
2016,IA,0.5114732722404601,0.4174048917294741
2012,ID,0.6452978349589283,0.3262233355920978
2016,ID,0.5926143236919689,0.27492013820979205
2012,IL,0.407327412708169,0.5760213536247709
2016,IL,0.3876175307382527,0.558253666987933
2012,IN,0.5412553238022445,0.43927302904058396
2016,IN,0.5694003344841128,0.37774839686752043
2012,KS,0.5971132036921613,0.3799457055391902
2016,KS,0.5665458180583958,0.36052370732234496
2012,KY,0.6049314159932162,0.37801327834445797
2016,KY,0.6251963855190009,0.3268218833364776
2012,LA,0.5778457572847425,0.4057746362330215
2016,LA,0.580886846535688,0.3844956609851397
2012,MA,0.37512670597300873,0.6065124107928392
2016,MA,0.3280835814000769,0.6000506459158761
2012,MD,0.3589773233894539,0.6197419077931849
2016,MD,0.3390930472854767,0.6032574423519277
2012,ME,0.40982080260242854,0.5626994587621639
2016,ME,0.4486975333154171,0.47830202680208095
2012,MI,0.4471091602742022,0.5420820421051875
2016,MI,0.47497564219996147,0.4727453095086684
2012,MN,0.4495820110666865,0.5265230315324626
2016,MN,0.4492478809350543,0.4644491857377701
2012,MO,0.5376374113587709,0.4438348354545333
2016,MO,0.5677234783816165,0.3813523083523671
2012,MS,0.5528584674358112,0.4378935954398935
2016,MS,0.5794103808883564,0.40114788271784096
2012,MT,0.553515353849205,0.41698137374805805
2016,MT,0.5616849744642932,0.35745765337012997
2012,NC,0.5039306410214295,0.48350968577067555
2016,NC,0.49828094696180414,0.46172866168209475
2012,ND,0.583221491071733,0.38690810130584236
2016,ND,0.629556278313393,0.27226739458706006
2012,NE,0.5980319217904804,0.38027314417928976
2016,NE,0.5874735112712576,0.33698756377135536
2012,NH,0.4640379649268888,0.5197968415071198
2016,NH,0.46458666981953417,0.46826262669690555
2012,NJ,0.40589271410095673,0.5837721259723121
2016,NJ,0.4135038665002945,0.554530844496942
2012,NM,0.4284332663909013,0.5299276052046678
2016,NM,0.40042514333242724,0.48255647178634103
2012,NV,0.4567531564126363,0.5235624947040056
2016,NV,0.4550069531760242,0.4791782367811904
2012,NY,0.3516982177635045,0.6334755369848354
2016,NY,0.36515627521387845,0.5900605094229808
2012,OH,0.47688764805772316,0.506680975127969
2016,OH,0.5168765067578619,0.4355807627672002
2012,OK,0.6677231974301656,0.3322768025698344
2016,OK,0.6532286481962736,0.2893168028454389
2012,OR,0.42149871176513326,0.54239326652769
2016,OR,0.39094035184496756,0.5007185200286208
2012,PA,0.46586509132431997,0.5197159378275084
2016,PA,0.48183336312285924,0.47464949189665423
2012,RI,0.35243661570813967,0.627009588632639
2016,RI,0.3889805749939674,0.5440660657037472
2012,SC,0.5456113125586141,0.4408803340736147
2016,SC,0.5493933268569543,0.4067341978966509
2012,SD,0.5788931187554114,0.3986614075835246
2016,SD,0.615307503789588,0.3173742815994899
2012,TN,0.5947871471993759,0.39075814993795194
2016,TN,0.6072203369421462,0.34716332798650096
2012,Total,0.4720402096565367,0.5106370658000776
2016,Total,0.46085579614836036,0.48184578075909323
2012,TX,0.5716697746805639,0.41383358283760857
2016,TX,0.5223468557933538,0.4323525798101196
2012,UT,0.727905331026891,0.2474966582796037
2016,UT,0.4553803593682331,0.274587027036582
2012,VA,0.4728310289638912,0.5115645679621864
2016,VA,0.44406696630127107,0.4972789199301014
2012,VT,0.3097263523672692,0.665705503023823
2016,VT,0.3026943475514732,0.5667778599472493
2012,WA,0.4129462143210913,0.5616339829967276
2016,WA,0.3683268018663746,0.5253868006182659
2012,WI,0.4588549077477306,0.5282776165301258
2016,WI,0.4721818456731012,0.4645384137224266
2012,WV,0.6229584241943327,0.3553930415638732
2016,WV,0.6849877453553427,0.26426080907249627
2012,WY,0.6864262168705658,0.27818887742360304
2016,WY,0.6817263307654124,0.2187735734749794
