Location,elderly,young_adult
Alabama,0.16,0.21
Alaska,0.1,0.24000000000000002
Arizona,0.17,0.21
Arkansas,0.16,0.2
California,0.14,0.23
Colorado,0.14,0.23
Connecticut,0.16,0.2
Delaware,0.18,0.2
District of Columbia,0.12,0.31
Florida,0.2,0.2
Georgia,0.13,0.21
Hawaii,0.18,0.2
Idaho,0.15,0.21
Illinois,0.14,0.22
Indiana,0.15,0.21
Iowa,0.16,0.21
Kansas,0.15,0.22
Kentucky,0.16,0.2
Louisiana,0.14,0.22
Maine,0.19,0.18
Maryland,0.15,0.21
Massachusetts,0.16,0.22
Michigan,0.16,0.2
Minnesota,0.15,0.21
Mississippi,0.15,0.2
Missouri,0.16,0.21
Montana,0.18,0.2
Nebraska,0.15,0.21
Nevada,0.15,0.22
New Hampshire,0.17,0.19
New Jersey,0.15,0.21
New Mexico,0.17,0.21
New York,0.15,0.22
North Carolina,0.16,0.21
North Dakota,0.14,0.25
Ohio,0.16,0.21
Oklahoma,0.15,0.21
Oregon,0.17,0.22
Pennsylvania,0.17,0.2
Puerto Rico,0.19,0.21000000000000002
Rhode Island,0.16,0.22
South Carolina,0.17,0.21
South Dakota,0.16,0.21
Tennessee,0.16,0.21
Texas,0.12,0.23
United States,0.15,0.21
Utah,0.11,0.24
Vermont,0.19,0.2
Virginia,0.15,0.21
Washington,0.15,0.22
West Virginia,0.19,0.19
Wisconsin,0.16,0.21
Wyoming,0.15,0.21
